species,source,type
Cyprinella caerulea,Fish Tree of Life,backbone tree
Cyprinella callisema,Fish Tree of Life,backbone tree
Cyprinella callistia,Fish Tree of Life,backbone tree
Cyprinella callitaenia,Fish Tree of Life,backbone tree
Cyprinella camura,Fish Tree of Life,backbone tree
Cyprinella chloristia,Fish Tree of Life,backbone tree
Cyprinella galactura,Fish Tree of Life,backbone tree
Cyprinella gibbsi,Fish Tree of Life,backbone tree
Cyprinella labrosa,Fish Tree of Life,backbone tree
Cyprinella leedsi,Fish Tree of Life,backbone tree
Cyprinella lepida,Fish Tree of Life,backbone tree
Cyprinella lutrensis,Fish Tree of Life,backbone tree
Cyprinella nivea,Fish Tree of Life,backbone tree
Cyprinella proserpina,Fish Tree of Life,backbone tree
Cyprinella pyrrhomelas,Fish Tree of Life,backbone tree
Cyprinella spiloptera,Fish Tree of Life,backbone tree
Cyprinella trichroistia,Fish Tree of Life,backbone tree
Cyprinella venusta,Fish Tree of Life,backbone tree
Cyprinella whipplei,Fish Tree of Life,backbone tree
Cyprinella xaenura,Fish Tree of Life,backbone tree
Cyprinella zanema,Fish Tree of Life,backbone tree
Cyprinodon eximius,Fish Tree of Life,backbone tree
Cyprinodon pecosensis,Fish Tree of Life,backbone tree
Cyprinodon rubrofluviatilis,Fish Tree of Life,backbone tree
Cyprinodon variegatus,Fish Tree of Life,backbone tree
Cyprinus carpio,Fish Tree of Life,backbone tree
Dionda argentosa,Fish Tree of Life,backbone tree
Dionda diaboli,Fish Tree of Life,backbone tree
Dionda episcopa,Fish Tree of Life,backbone tree
Dionda nigrotaeniata,Fish Tree of Life,backbone tree
Dionda serena,Fish Tree of Life,backbone tree
Dormitator maculatus,Fish Tree of Life,backbone tree
Dorosoma cepedianum,Fish Tree of Life,backbone tree
Dorosoma petenense,Fish Tree of Life,backbone tree
Elassoma alabamae,Fish Tree of Life,backbone tree
Elassoma evergladei,Fish Tree of Life,backbone tree
Elassoma gilberti,Fish Tree of Life,backbone tree
Elassoma okefenokee,Fish Tree of Life,backbone tree
Elassoma zonatum,Fish Tree of Life,backbone tree
Eleotris amblyopsis,Fish Tree of Life,backbone tree
Eleotris pisonis,Fish Tree of Life,backbone tree
Elops affinis,Fish Tree of Life,backbone tree
Elops saurus,Fish Tree of Life,backbone tree
Enneacanthus chaetodon,Fish Tree of Life,backbone tree
Enneacanthus gloriosus,Fish Tree of Life,backbone tree
Enneacanthus obesus,Fish Tree of Life,backbone tree
Erimystax cahni,Fish Tree of Life,backbone tree
Erimystax dissimilis,Fish Tree of Life,backbone tree
Erimystax harryi,Fish Tree of Life,backbone tree
Erimystax insignis,Fish Tree of Life,backbone tree
Erimystax x-punctatus,Fish Tree of Life,backbone tree
Erimyzon oblongus,Fish Tree of Life,backbone tree
Erimyzon sucetta,Fish Tree of Life,backbone tree
Erimyzon tenuis,Fish Tree of Life,backbone tree
Esox americanus,Fish Tree of Life,backbone tree
Esox lucius,Fish Tree of Life,backbone tree
Esox masquinongy,Fish Tree of Life,backbone tree
Esox niger,Fish Tree of Life,backbone tree
Etheostoma acuticeps,Fish Tree of Life,backbone tree
Etheostoma aquali,Fish Tree of Life,backbone tree
Etheostoma artesiae,Fish Tree of Life,backbone tree
Etheostoma asprigene,Fish Tree of Life,backbone tree
Etheostoma autumnale,Fish Tree of Life,backbone tree
Etheostoma baileyi,Fish Tree of Life,backbone tree
Etheostoma barbouri,Fish Tree of Life,backbone tree
Etheostoma barrenense,Fish Tree of Life,backbone tree
Etheostoma bellator,Fish Tree of Life,backbone tree
Etheostoma bellum,Fish Tree of Life,backbone tree
Etheostoma blennioides,Fish Tree of Life,backbone tree
Etheostoma blennius,Fish Tree of Life,backbone tree
Etheostoma boschungi,Fish Tree of Life,backbone tree
Etheostoma brevirostrum,Fish Tree of Life,backbone tree
Etheostoma brevispinum,Fish Tree of Life,backbone tree
Etheostoma caeruleum,Fish Tree of Life,backbone tree
Etheostoma camurum,Fish Tree of Life,backbone tree
Etheostoma cervus,Fish Tree of Life,backbone tree
Etheostoma chienense,Fish Tree of Life,backbone tree
Etheostoma chlorobranchium,Fish Tree of Life,backbone tree
Etheostoma chlorosoma,Fish Tree of Life,backbone tree
Etheostoma chuckwachatte,Fish Tree of Life,backbone tree
Etheostoma cinereum,Fish Tree of Life,backbone tree
Etheostoma collettei,Fish Tree of Life,backbone tree
Etheostoma collis,Fish Tree of Life,backbone tree
Etheostoma colorosum,Fish Tree of Life,backbone tree
Etheostoma coosae,Fish Tree of Life,backbone tree
Etheostoma corona,Fish Tree of Life,backbone tree
Etheostoma cragini,Fish Tree of Life,backbone tree
Etheostoma crossopterum,Fish Tree of Life,backbone tree
