species,source,type
Notropis rafinesquei,Fish Tree of Life,backbone tree
Notropis rubellus,Fish Tree of Life,backbone tree
Notropis rubricroceus,Fish Tree of Life,backbone tree
Notropis sabinae,Fish Tree of Life,backbone tree
Notropis scepticus,Fish Tree of Life,backbone tree
Notropis semperasper,Fish Tree of Life,backbone tree
Notropis shumardi,Fish Tree of Life,backbone tree
Notropis simus,Fish Tree of Life,backbone tree
Notropis spectrunculus,Fish Tree of Life,backbone tree
Notropis stilbius,Fish Tree of Life,backbone tree
Notropis stramineus,Fish Tree of Life,backbone tree
Notropis suttkusi,Fish Tree of Life,backbone tree
Notropis telescopus,Fish Tree of Life,backbone tree
Notropis texanus,Fish Tree of Life,backbone tree
Notropis topeka,Fish Tree of Life,backbone tree
Notropis uranoscopus,Fish Tree of Life,backbone tree
Notropis volucellus,Fish Tree of Life,backbone tree
Notropis wickliffi,Fish Tree of Life,backbone tree
Notropis xaenocephalus,Fish Tree of Life,backbone tree
Noturus albater,Fish Tree of Life,backbone tree
Noturus elegans,Fish Tree of Life,backbone tree
Noturus eleutherus,Fish Tree of Life,backbone tree
Noturus exilis,Fish Tree of Life,backbone tree
Noturus flavater,Fish Tree of Life,backbone tree
Noturus flavipinnis,Fish Tree of Life,backbone tree
Noturus flavus,Fish Tree of Life,backbone tree
Noturus funebris,Fish Tree of Life,backbone tree
Noturus furiosus,Fish Tree of Life,backbone tree
Noturus gilberti,Fish Tree of Life,backbone tree
Noturus gladiator,Fish Tree of Life,backbone tree
Noturus gyrinus,Fish Tree of Life,backbone tree
Noturus hildebrandi,Fish Tree of Life,backbone tree
Noturus insignis,Fish Tree of Life,backbone tree
Noturus lachneri,Fish Tree of Life,backbone tree
Noturus leptacanthus,Fish Tree of Life,backbone tree
Noturus maydeni,Fish Tree of Life,backbone tree
Noturus miurus,Fish Tree of Life,backbone tree
Noturus munitus,Fish Tree of Life,backbone tree
Noturus nocturnus,Fish Tree of Life,backbone tree
Noturus phaeus,Fish Tree of Life,backbone tree
Noturus placidus,Fish Tree of Life,backbone tree
Noturus stigmosus,Fish Tree of Life,backbone tree
Noturus taylori,Fish Tree of Life,backbone tree
Novumbra hubbsi,Fish Tree of Life,backbone tree
Oligolepis acutipennis,Fish Tree of Life,backbone tree
Oligoplites saurus,Fish Tree of Life,backbone tree
Oncorhynchus apache,Fish Tree of Life,backbone tree
Oncorhynchus clarkii,Fish Tree of Life,backbone tree
Oncorhynchus gilae,Fish Tree of Life,backbone tree
Oncorhynchus gorbuscha,Fish Tree of Life,backbone tree
Oncorhynchus keta,Fish Tree of Life,backbone tree
Oncorhynchus kisutch,Fish Tree of Life,backbone tree
Oncorhynchus mykiss,Fish Tree of Life,backbone tree
Oncorhynchus nerka,Fish Tree of Life,backbone tree
Oncorhynchus tshawytscha,Fish Tree of Life,backbone tree
Ophichthus gomesii,Fish Tree of Life,backbone tree
Opsanus beta,Fish Tree of Life,backbone tree
Opsopoeodus emiliae,Fish Tree of Life,backbone tree
Oregonichthys kalawatseti,Fish Tree of Life,backbone tree
Oreochromis aureus,Fish Tree of Life,backbone tree
Oreochromis mossambicus,Fish Tree of Life,backbone tree
Oreochromis niloticus,Fish Tree of Life,backbone tree
Orthodon microlepidotus,Fish Tree of Life,backbone tree
Osmerus mordax,Fish Tree of Life,backbone tree
Osteoglossum bicirrhosum,Fish Tree of Life,backbone tree
Paralichthys lethostigma,Fish Tree of Life,backbone tree
Pararhinichthys bowersi,Fish Tree of Life,backbone tree
Perca flavescens,Fish Tree of Life,backbone tree
Percina apristis,Fish Tree of Life,backbone tree
Percina aurantiaca,Fish Tree of Life,backbone tree
Percina aurolineata,Fish Tree of Life,backbone tree
Percina austroperca,Fish Tree of Life,backbone tree
Percina bimaculata,Fish Tree of Life,backbone tree
Percina brevicauda,Fish Tree of Life,backbone tree
Percina burtoni,Fish Tree of Life,backbone tree
Percina caprodes,Fish Tree of Life,backbone tree
Percina carbonaria,Fish Tree of Life,backbone tree
Percina copelandi,Fish Tree of Life,backbone tree
Percina crassa,Fish Tree of Life,backbone tree
Percina cymatotaenia,Fish Tree of Life,backbone tree
Percina evides,Fish Tree of Life,backbone tree
Percina fulvitaenia,Fish Tree of Life,backbone tree
Percina gymnocephala,Fish Tree of Life,backbone tree
Percina kathae,Fish Tree of Life,backbone tree
Percina kusha,Fish Tree of Life,backbone tree
Percina lenticula,Fish Tree of Life,backbone tree
Percina macrocephala,Fish Tree of Life,backbone tree
Percina macrolepida,Fish Tree of Life,backbone tree
Percina maculata,Fish Tree of Life,backbone tree
Percina nasuta,Fish Tree of Life,backbone tree
Percina nevisense,Fish Tree of Life,backbone tree
Percina nigrofasciata,Fish Tree of Life,backbone tree
Percina notogramma,Fish Tree of Life,backbone tree
Percina oxyrhynchus,Fish Tree of Life,backbone tree
Percina palmaris,Fish Tree of Life,backbone tree
Percina pantherina,Fish Tree of Life,backbone tree
Percina peltata,Fish Tree of Life,backbone tree
Percina phoxocephala,Fish Tree of Life,backbone tree
Percina rex,Fish Tree of Life,backbone tree
Percina roanoka,Fish Tree of Life,backbone tree
Percina sciera,Fish Tree of Life,backbone tree
Percina shumardi,Fish Tree of Life,backbone tree
Percina sipsi,Fish Tree of Life,backbone tree
Percina smithvanizi,Fish Tree of Life,backbone tree
Percina squamata,Fish Tree of Life,backbone tree
Percina stictogaster,Fish Tree of Life,backbone tree
Percina suttkusi,Fish Tree of Life,backbone tree
Percina tanasi,Fish Tree of Life,backbone tree
Percina uranidea,Fish Tree of Life,backbone tree
Percina vigil,Fish Tree of Life,backbone tree
Percina williamsi,Fish Tree of Life,backbone tree
Percopsis omiscomaycus,Fish Tree of Life,backbone tree
Percopsis transmontana,Fish Tree of Life,backbone tree
Phenacobius catostomus,Fish Tree of Life,backbone tree
Phenacobius crassilabrum,Fish Tree of Life,backbone tree
Phenacobius mirabilis,Fish Tree of Life,backbone tree
Phenacobius teretulus,Fish Tree of Life,backbone tree
Phenacobius uranops,Fish Tree of Life,backbone tree
Pimephales notatus,Fish Tree of Life,backbone tree
Pimephales promelas,Fish Tree of Life,backbone tree
Pimephales tenellus,Fish Tree of Life,backbone tree
Pimephales vigilax,Fish Tree of Life,backbone tree
Platygobio gracilis,Fish Tree of Life,backbone tree
Poecilia latipinna,Fish Tree of Life,backbone tree
Poecilia reticulata,Fish Tree of Life,backbone tree
Poeciliopsis occidentalis,Fish Tree of Life,backbone tree
Pogonias cromis,Fish Tree of Life,backbone tree
Pogonichthys macrolepidotus,Fish Tree of Life,backbone tree
Polyodon spathula,Fish Tree of Life,backbone tree
Pomatomus saltatrix,Fish Tree of Life,backbone tree
Pomoxis annularis,Fish Tree of Life,backbone tree
Pomoxis nigromaculatus,Fish Tree of Life,backbone tree
Prosopium coulterii,Fish Tree of Life,backbone tree
Prosopium cylindraceum,Fish Tree of Life,backbone tree
Prosopium williamsoni,Fish Tree of Life,backbone tree
Proterorhinus semilunaris,Fish Tree of Life,backbone tree
Pteronotropis euryzonus,Fish Tree of Life,backbone tree
Pteronotropis grandipinnis,Fish Tree of Life,backbone tree
Pteronotropis hubbsi,Fish Tree of Life,backbone tree
Pteronotropis hypselopterus,Fish Tree of Life,backbone tree
Pteronotropis metallicus,Fish Tree of Life,backbone tree
Pteronotropis signipinnis,Fish Tree of Life,backbone tree
Pteronotropis welaka,Fish Tree of Life,backbone tree
Pterygoplichthys disjunctivus,Fish Tree of Life,backbone tree
Pterygoplichthys multiradiatus,Fish Tree of Life,backbone tree
Ptychocheilus grandis,Fish Tree of Life,backbone tree
Ptychocheilus lucius,Fish Tree of Life,backbone tree
Ptychocheilus oregonensis,Fish Tree of Life,backbone tree
Ptychocheilus umpquae,Fish Tree of Life,backbone tree
Pungitius pungitius,Fish Tree of Life,backbone tree
Pylodictis olivaris,Fish Tree of Life,backbone tree
Rhinichthys atratulus,Fish Tree of Life,backbone tree
Rhinichthys cataractae,Fish Tree of Life,backbone tree
Rhinichthys cobitis,Fish Tree of Life,backbone tree
Rhinichthys evermanni,Fish Tree of Life,backbone tree
Rhinichthys falcatus,Fish Tree of Life,backbone tree
Rhinichthys obtusus,Fish Tree of Life,backbone tree
Rhinichthys osculus,Fish Tree of Life,backbone tree
Rhinichthys umatilla,Fish Tree of Life,backbone tree
Richardsonius balteatus,Fish Tree of Life,backbone tree
Richardsonius egregius,Fish Tree of Life,backbone tree
Rocio octofasciata,Fish Tree of Life,backbone tree
Salmo salar,Fish Tree of Life,backbone tree
Salmo trutta,Fish Tree of Life,backbone tree
Salvelinus confluentus,Fish Tree of Life,backbone tree
Salvelinus fontinalis,Fish Tree of Life,backbone tree
Salvelinus malma,Fish Tree of Life,backbone tree
Salvelinus namaycush,Fish Tree of Life,backbone tree
Sander canadensis,Fish Tree of Life,backbone tree
Sander vitreus,Fish Tree of Life,backbone tree
Scaphirhynchus albus,Fish Tree of Life,backbone tree
Scaphirhynchus platorynchus,Fish Tree of Life,backbone tree
Scardinius erythrophthalmus,Fish Tree of Life,backbone tree
Sciaenops ocellatus,Fish Tree of Life,backbone tree
Semotilus atromaculatus,Fish Tree of Life,backbone tree
Semotilus corporalis,Fish Tree of Life,backbone tree
Semotilus lumbee,Fish Tree of Life,backbone tree
Semotilus thoreauianus,Fish Tree of Life,backbone tree
Siphateles bicolor,Fish Tree of Life,backbone tree
Strongylura marina,Fish Tree of Life,backbone tree
Syngnathus scovelli,Fish Tree of Life,backbone tree
Thaleichthys pacificus,Fish Tree of Life,backbone tree
Thoburnia atripinnis,Fish Tree of Life,backbone tree
Thoburnia hamiltoni,Fish Tree of Life,backbone tree
Thoburnia rhothoeca,Fish Tree of Life,backbone tree
Thymallus arcticus,Fish Tree of Life,backbone tree
Tinca tinca,Fish Tree of Life,backbone tree
Trinectes maculatus,Fish Tree of Life,backbone tree
Umbra limi,Fish Tree of Life,backbone tree
Umbra pygmaea,Fish Tree of Life,backbone tree
Xyrauchen texanus,Fish Tree of Life,backbone tree
Cottus sp. Colorado River Sculpin,"Described as being related to Cottus annae (Young et al., 2022)",Literature review
Cottus sp. Rocky Mountain Sculpin,Described as Cottus sp. Cf bairdii,Literature review
Cottus sp. Columbia Slimy Sculpin,"Described as being related to Cottus annae (Young et al., 2022)",Literature review
Clinostomus sp. Smoky Dace,Described as Clinostomus sp. cf. funduloides,Literature review
Catostomus utawana,"Formerly  described as Catostomus commersonii. (Morse & Daniels, 2009)",Literature review
Cottus immaculatus,"Formerly described as Cottus hypselurus (Kinziger & Wood, 2010)",Literature review
Macrhybopsis australis,"Described as sister species to Macrhybopsis tetranema (Underwood et al., 2003)",Literature review
Margariscus nachtriebi,Margariscus margarita is the only other species in this genus,Literature review
Menidia audens,"Formerly described as Menidia beryllina (Fluker et al., 2011)",Literature review
Moxostoma sp. Carolina Redhorse,Described as Moxostoma sp. cf. erythrurum,Literature review
Notropis buccula,"Formerly described as Notropis bairdi (Page & Burr, 1991)",Literature review
Notropis sp. Piedmont Shiner,Described as Notropis sp. cf. chlorocephalus ,Literature review
Notropis albizonatus,"Described as a member of the Notropis procne species group (Warren et al., 1994)",Literature review
Notropis sp. Kanawha Rosyface Shiner,Described as Notropis sp. Cf. rubellus,Literature review
Noturus sp. Highlands Stonecat,Described as Noturus sp. cf. flavus,Literature review
Oncorhynchus aguabonita,"Formerly described as Oncorhynchus mykiss (NatureServe, 2010)",Literature review
Elassoma okatie,elassoma_sandel_et_al_2014.nwk.txt,phylogram
Etheostoma atripinne,percidea_near_et_al_2011.nex,phylogram
Etheostoma gutselli,percidea_near_et_al_2011.nex,phylogram
Etheostoma jimmycarter,percidea_near_et_al_2011.nex,phylogram
Etheostoma sp. Blueface Darter,percidea_near_et_al_2011.nex,phylogram
Etheostoma sp. Clarks Darter,percidea_near_et_al_2011.nex,phylogram
Etheostoma sp. Mamequit Darter,percidea_near_et_al_2011.nex,phylogram
Etheostoma sp. Sipsey Darter,percidea_near_et_al_2011.nex,phylogram
Etheostoma trisella,percidea_near_et_al_2011.nex,phylogram
Cyprinella sp. Thinlip Chub,see graphial tree in Schönhuth & Mayden (2010),non-time calibrated
Notropis sp. Sawfin Shiner,see graphical tree in Hollingsworth et al. (2013),non-time calibrated
Cottus kanawhae,see graphical tree in Kinziger et al. (2005),non-time calibrated
Cottus sp. Bluestone Sculpin,see graphical tree in Kinziger et al. (2005),non-time calibrated
Cottus sp. Checkered Sculpin,see graphical tree in Kinziger et al. (2005),non-time calibrated
Cottus sp. Clinch Sculpin,see graphical tree in Kinziger et al. (2005),non-time calibrated
Cottus sp. Holston Sculpin,see graphical tree in Kinziger et al. (2005),non-time calibrated
Etheostoma gore,see graphical tree in Layman & Mayden (2012),non-time calibrated
Etheostoma teddyroosevelt,see graphical tree in Layman & Mayden (2012),non-time calibrated
Pteronotropis stonei,see graphical tree in Mayden & Allen (2015),non-time calibrated
Catostomus fumeiventris,Catostomidae_Bagley_et_al_2018.phy,chronogram
Catostomus latipinnis,Catostomidae_Bagley_et_al_2018.phy,chronogram
Moxostoma sp. Apalachicola Redhorse,Catostomidae_Bagley_et_al_2018.phy,chronogram
Moxostoma sp. Brassy Jumprock,Catostomidae_Bagley_et_al_2018.phy,chronogram
Moxostoma sp. Sicklefin Redhorse,Catostomidae_Bagley_et_al_2018.phy,chronogram
Campostoma anomalum,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Campostoma oligolepis,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Campostoma ornatum,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Campostoma pauciradii,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Campostoma spadiceum,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Notropis amplamala,cyprinids_hollingsworth_et_al_2013.phy,chronogram
Erimyzon claviformis,erimyzon_hunt_et_al_2021.tre,chronogram
Labidesthes vanhyningi,Labidesthes_bloom_et_al_2013.tre,chronogram
Lepomis peltastes,Lepomis_kim_et_al_2022.tree,chronogram
Macrhybopsis boschungi,Macrhybopsis_hoagstrom_echelle_2022.tre,chronogram
Macrhybopsis etnieri,Macrhybopsis_hoagstrom_echelle_2022.tre,chronogram
Macrhybopsis pallida,Macrhybopsis_hoagstrom_echelle_2022.tre,chronogram
Macrhybopsis tetranema,Macrhybopsis_hoagstrom_echelle_2022.tre,chronogram
Micropterus cahabae,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus cataractae,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus chattahoochae,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus coosae,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus dolomieu,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus henshalli,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus punctulatus,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus salmoides,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus sp. Altamaha Bass,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus sp. Bartram's Bass,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus sp. Choctaw Bass,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus tallapoosae,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus treculii,Micropterus_kim_et_al_2022.tre,chronogram
Micropterus warriorensis,Micropterus_kim_et_al_2022.tre,chronogram
Chrosomus neogaeus,timetree_Chrosomus.nwk,chronogram
Coregonus artedi,timetree_Coregoninae.nwk,chronogram
Leptolucania ommata,timetree_Fundulidae.nwk,chronogram
Ctenogobius shufeldti,timetree_Gobiiformes.nwk,chronogram
Gobioides broussonetii,timetree_Gobiiformes.nwk,chronogram
Microgobius gulosus,timetree_Gobiiformes.nwk,chronogram
Neogobius melanostomus,timetree_Gobiiformes.nwk,chronogram
Lepidomeda copei,timetree_Lepidomeda.nwk,chronogram
Hypostomus plecostomus,timetree_Loricariidae.nwk,chronogram
Entosphenus tridentatus,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon bdellium,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon castaneus,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon fossor,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon gagei,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon greeleyi,timetree_Petromyzontiformes.nwk,chronogram
Ichthyomyzon unicuspis,timetree_Petromyzontiformes.nwk,chronogram
Lampetra aepyptera,timetree_Petromyzontiformes.nwk,chronogram
Lampetra ayresii,timetree_Petromyzontiformes.nwk,chronogram
Lampetra hubbsi,timetree_Petromyzontiformes.nwk,chronogram
Lampetra richardsoni,timetree_Petromyzontiformes.nwk,chronogram
Lethenteron appendix,timetree_Petromyzontiformes.nwk,chronogram
Petromyzon marinus,timetree_Petromyzontiformes.nwk,chronogram
Poecilia formosa,timetree_Poeciliinae.nwk,chronogram
Erimonax monachus,timetree_Pogonichthyinae.nwk,chronogram
Notropis alborus,timetree_Pogonichthyinae.nwk,chronogram
Notropis atrocaudalis,timetree_Pogonichthyinae.nwk,chronogram
Notropis bairdi,timetree_Pogonichthyinae.nwk,chronogram
Notropis braytoni,timetree_Pogonichthyinae.nwk,chronogram
Notropis cummingsae,timetree_Pogonichthyinae.nwk,chronogram
Notropis greenei,timetree_Pogonichthyinae.nwk,chronogram
Notropis melanostomus,timetree_Pogonichthyinae.nwk,chronogram
Notropis scabriceps,timetree_Pogonichthyinae.nwk,chronogram
Pteronotropis merlini,timetree_Pogonichthyinae.nwk,chronogram
